comment,likes,cleaned,case_folded,tokenized,stopword_removed,stemmed,final_text,komentar_bersih,label
"menit <a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1120"">18:40</a> di eps berapa guys?",0,menit di eps berapa guys,menit di eps berapa guys,"['menit', 'di', 'eps', 'berapa', 'guys']","['menit', 'eps', 'guys']","['menit', 'eps', 'guys']",menit eps guys,menit eps guys,Netral
AHAHAHHAHAH KOCAAKK,0,AHAHAHHAHAH KOCAAKK,ahahahhahah kocaakk,"['ahahahhahah', 'kocaakk']","['ahahahhahah', 'kocaakk']","['ahahahhahah', 'kocaakk']",ahahahhahah kocaakk,ahahahhahah kocaakk,Positif
GONG BNGT WAKTU SOAL YG TERAKHIR 😭😭😭😭😭😭🤟🤟,0,GONG BNGT WAKTU SOAL yang TERAKHIR,gong bngt waktu soal yang terakhir,"['gong', 'bngt', 'waktu', 'soal', 'yang', 'terakhir']","['gong', 'bngt']","['gong', 'bngt']",gong bngt,gong bngt,Positif
the ending😭😭,0,the ending,the ending,"['the', 'ending']","['the', 'ending']","['the', 'ending']",the ending,the ending,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1736"">28:56</a> WKWKWKWKKAKAKAKAKAKAKKWKWK GONG BANGET WKWKWK 😭🤣🤣🤣",0,WKWKWKWKKAKAKAKAKAKAKKWKWK GONG BANGET WKWKWK,wkwkwkwkkakakakakakakkwkwk gong banget wkwkwk,"['wkwkwkwkkakakakakakakkwkwk', 'gong', 'banget', 'wkwkwk']","['wkwkwkwkkakakakakakakkwkwk', 'gong', 'banget', 'wkwkwk']","['wkwkwkwkkakakakakakakkwkwk', 'gong', 'banget', 'wkwkwk']",wkwkwkwkkakakakakakakkwkwk gong banget wkwkwk,wkwkwkwkkakakakakakakkwkwk gong banget wkwkwk,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=214"">3:34</a> DANGGG WKKWKWKWKWKKKWKWK 😂",0,DANGGG WKKWKWKWKWKKKWKWK,danggg wkkwkwkwkwkkkwkwk,"['danggg', 'wkkwkwkwkwkkkwkwk']","['danggg', 'wkkwkwkwkwkkkwkwk']","['danggg', 'wkkwkwkwkwkkkwkwk']",danggg wkkwkwkwkwkkkwkwk,danggg wkkwkwkwkwkkkwkwk,Positif
Aku bisa sempoa,0,Aku bisa sempoa,aku bisa sempoa,"['aku', 'bisa', 'sempoa']",['sempoa'],['sempoa'],sempoa,sempoa,Netral
Resah bgt,0,Resah banget,resah banget,"['resah', 'banget']","['resah', 'banget']","['resah', 'banget']",resah banget,resah banget,Negatif
HAHAHAHA GA EXPECT,0,HAHAHAHA GA EXPECT,hahahaha ga expect,"['hahahaha', 'ga', 'expect']","['hahahaha', 'ga', 'expect']","['hahahaha', 'ga', 'expect']",hahahaha ga expect,hahahaha ga expect,Positif
ada yg salah dari gua nntn ini sampe selesai,0,ada yang salah dari gua nntn ini sampe selesai,ada yang salah dari gua nntn ini sampe selesai,"['ada', 'yang', 'salah', 'dari', 'gua', 'nntn', 'ini', 'sampe', 'selesai']","['salah', 'gua', 'nntn', 'sampe', 'selesai']","['salah', 'gua', 'nntn', 'sampe', 'selesai']",salah gua nntn sampe selesai,salah gua nntn sampe selesai,Negatif
Infokan lagu sahabat muncul dispotify min,0,Infokan lagu sahabat muncul dispotify min,infokan lagu sahabat muncul dispotify min,"['infokan', 'lagu', 'sahabat', 'muncul', 'dispotify', 'min']","['infokan', 'lagu', 'sahabat', 'muncul', 'dispotify', 'min']","['info', 'lagu', 'sahabat', 'muncul', 'dispotify', 'min']",info lagu sahabat muncul dispotify min,info lagu sahabat muncul dispotify min,Netral
GAKUATTT TRIO SAHABAT WARAS😭😭😭😭😭😩😩😩😩,0,GAKUATTT TRIO SAHABAT WARAS,gakuattt trio sahabat waras,"['gakuattt', 'trio', 'sahabat', 'waras']","['gakuattt', 'trio', 'sahabat', 'waras']","['gakuattt', 'trio', 'sahabat', 'waras']",gakuattt trio sahabat waras,gakuattt trio sahabat waras,Positif
durasi 10jam gue jabanin ini mah,0,durasi 10jam gue jabanin ini mah,durasi 10jam gue jabanin ini mah,"['durasi', '10jam', 'gue', 'jabanin', 'ini', 'mah']","['durasi', '10jam', 'gue', 'jabanin', 'mah']","['durasi', '10jam', 'gue', 'jabanin', 'mah']",durasi 10jam gue jabanin mah,durasi 10jam gue jabanin mah,Positif
Gk jls sumpah😂🤣🤣,0,tidak jls sumpah,tidak jls sumpah,"['tidak', 'jls', 'sumpah']","['jls', 'sumpah']","['jls', 'sumpah']",jls sumpah,jls sumpah,Negatif
Ya Allah ngakak bgt sama uns 😂 universitas negeri Singapur 😭,0,Ya Allah ngakak banget sama uns universitas negeri Singapur,ya allah ngakak banget sama uns universitas negeri singapur,"['ya', 'allah', 'ngakak', 'banget', 'sama', 'uns', 'universitas', 'negeri', 'singapur']","['ya', 'allah', 'ngakak', 'banget', 'uns', 'universitas', 'negeri', 'singapur']","['ya', 'allah', 'ngakak', 'banget', 'uns', 'universitas', 'negeri', 'singapur']",ya allah ngakak banget uns universitas negeri singapur,ya allah ngakak banget uns universitas negeri singapur,Positif
sebenernya kita semua tuh orang gila cuma kita males keluyuran aja,0,sebenernya kita semua tuh orang gila cuma kita males keluyuran aja,sebenernya kita semua tuh orang gila cuma kita males keluyuran aja,"['sebenernya', 'kita', 'semua', 'tuh', 'orang', 'gila', 'cuma', 'kita', 'males', 'keluyuran', 'aja']","['sebenernya', 'tuh', 'orang', 'gila', 'males', 'keluyuran', 'aja']","['sebenernya', 'tuh', 'orang', 'gila', 'males', 'keluyur', 'aja']",sebenernya tuh orang gila males keluyur aja,sebenernya tuh orang gila males keluyur aja,Negatif
Wkwkwk jimmy neutron 😅😅,0,Wkwkwk jimmy neutron,wkwkwk jimmy neutron,"['wkwkwk', 'jimmy', 'neutron']","['wkwkwk', 'jimmy', 'neutron']","['wkwkwk', 'jimmy', 'neutron']",wkwkwk jimmy neutron,wkwkwk jimmy neutron,Netral
Ampuuuuunnn😂😂😂😂😂,0,Ampuuuuunnn,ampuuuuunnn,['ampuuuuunnn'],['ampuuuuunnn'],['ampuuuuunnn'],ampuuuuunnn,ampuuuuunnn,Positif
"Wkakaka berapa kali nonton podcast ini gw masih nahan diri buat subscribe, setelah nonton episode ini… ok fine, gw butuh denger obrolan yg daging bgt kaya gini 😂 Gw subscribe! 🤣",0,Wkakaka berapa kali nonton podcast ini saya masih nahan diri buat subscribe setelah nonton episode ini ok fine saya butuh denger obrolan yang daging banget kaya gini saya subscribe,wkakaka berapa kali nonton podcast ini saya masih nahan diri buat subscribe setelah nonton episode ini ok fine saya butuh denger obrolan yang daging banget kaya gini saya subscribe,"['wkakaka', 'berapa', 'kali', 'nonton', 'podcast', 'ini', 'saya', 'masih', 'nahan', 'diri', 'buat', 'subscribe', 'setelah', 'nonton', 'episode', 'ini', 'ok', 'fine', 'saya', 'butuh', 'denger', 'obrolan', 'yang', 'daging', 'banget', 'kaya', 'gini', 'saya', 'subscribe']","['wkakaka', 'kali', 'nonton', 'podcast', 'nahan', 'subscribe', 'nonton', 'episode', 'ok', 'fine', 'butuh', 'denger', 'obrolan', 'daging', 'banget', 'kaya', 'gini', 'subscribe']","['wkakaka', 'kali', 'nonton', 'podcast', 'nahan', 'subscribe', 'nonton', 'episode', 'ok', 'fine', 'butuh', 'denger', 'obrol', 'daging', 'banget', 'kaya', 'gin', 'subscribe']",wkakaka kali nonton podcast nahan subscribe nonton episode ok fine butuh denger obrol daging banget kaya gin subscribe,wkakaka kali nonton podcast nahan subscribe nonton episode ok fine butuh denger obrol daging banget kaya gin subscribe,Positif
"KOCAK, SEMUANYA KOCAK 😭😭😭😭😭<br><a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=418"">6:58</a> semua serba salah",1,KOCAK SEMUANYA KOCAK semua serba salah,kocak semuanya kocak semua serba salah,"['kocak', 'semuanya', 'kocak', 'semua', 'serba', 'salah']","['kocak', 'kocak', 'serba', 'salah']","['kocak', 'kocak', 'serba', 'salah']",kocak kocak serba salah,kocak kocak serba salah,Positif
d menit pecah bngt ketawa gwaa,0,d menit pecah bngt ketawa gwaa,d menit pecah bngt ketawa gwaa,"['d', 'menit', 'pecah', 'bngt', 'ketawa', 'gwaa']","['d', 'menit', 'pecah', 'bngt', 'ketawa', 'gwaa']","['d', 'menit', 'pecah', 'bngt', 'ketawa', 'gwaa']",d menit pecah bngt ketawa gwaa,d menit pecah bngt ketawa gwaa,Positif
ditunggu di family 100 yaaa!!,0,ditunggu di family yaaa,ditunggu di family yaaa,"['ditunggu', 'di', 'family', 'yaaa']","['ditunggu', 'family', 'yaaa']","['tunggu', 'family', 'yaaa']",tunggu family yaaa,tunggu family yaaa,Netral
Kok sandy keliatan agak waras yaa disini 😭,0,Kok sandy keliatan agak waras yaa disini,kok sandy keliatan agak waras yaa disini,"['kok', 'sandy', 'keliatan', 'agak', 'waras', 'yaa', 'disini']","['sandy', 'keliatan', 'waras', 'yaa']","['sandy', 'liat', 'waras', 'yaa']",sandy liat waras yaa,sandy liat waras yaa,Netral
kayanya abis ntn podcast ini nilai ipk ku pasti naik 500 digit,0,kayanya abis ntn podcast ini nilai ipk ku pasti naik digit,kayanya abis ntn podcast ini nilai ipk ku pasti naik digit,"['kayanya', 'abis', 'ntn', 'podcast', 'ini', 'nilai', 'ipk', 'ku', 'pasti', 'naik', 'digit']","['kayanya', 'abis', 'ntn', 'podcast', 'nilai', 'ipk', 'ku', 'digit']","['kaya', 'abis', 'ntn', 'podcast', 'nilai', 'ipk', 'ku', 'digit']",kaya abis ntn podcast nilai ipk ku digit,kaya abis ntn podcast nilai ipk ku digit,Negatif
Kocak absurd bgt,0,Kocak absurd banget,kocak absurd banget,"['kocak', 'absurd', 'banget']","['kocak', 'absurd', 'banget']","['kocak', 'absurd', 'banget']",kocak absurd banget,kocak absurd banget,Positif
HAHAHAHA SERU BGT PLS,0,HAHAHAHA SERU banget PLS,hahahaha seru banget pls,"['hahahaha', 'seru', 'banget', 'pls']","['hahahaha', 'seru', 'banget', 'pls']","['hahahaha', 'seru', 'banget', 'pls']",hahahaha seru banget pls,hahahaha seru banget pls,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=951"">15:51</a> nyesel deh lebih milih Sempol daripada sempoa hiks",18,nyesel deh lebih milih Sempol daripada sempoa hiks,nyesel deh lebih milih sempol daripada sempoa hiks,"['nyesel', 'deh', 'lebih', 'milih', 'sempol', 'daripada', 'sempoa', 'hiks']","['nyesel', 'deh', 'milih', 'sempol', 'sempoa', 'hiks']","['nyesel', 'deh', 'milih', 'sempol', 'sempoa', 'hiks']",nyesel deh milih sempol sempoa hiks,nyesel deh milih sempol sempoa hiks,Negatif
TRAKHIR NYA DPT BGT GURUKU YG SANGAT???😭😭😭,0,TRAKHIR NYA DPT banget GURUKU yang SANGAT,trakhir nya dpt banget guruku yang sangat,"['trakhir', 'nya', 'dpt', 'banget', 'guruku', 'yang', 'sangat']","['trakhir', 'nya', 'dpt', 'banget', 'guruku']","['trakhir', 'nya', 'dpt', 'banget', 'guru']",trakhir nya dpt banget guru,trakhir nya dpt banget guru,Positif
GK kuatt😭😭🤣,0,tidak kuatt,tidak kuatt,"['tidak', 'kuatt']",['kuatt'],['kuatt'],kuatt,kuatt,Positif
Undang halda dan Arafah please pasti seru,2,Undang halda dan Arafah please pasti seru,undang halda dan arafah please pasti seru,"['undang', 'halda', 'dan', 'arafah', 'please', 'pasti', 'seru']","['undang', 'halda', 'arafah', 'please', 'seru']","['undang', 'halda', 'arafah', 'please', 'seru']",undang halda arafah please seru,undang halda arafah please seru,Netral
"Sandy beneran Jenius, bisa ikutin alur mainnya tanpa menghilangkan Kharismanya, tapi tetap terlihat lucu tanpa Effort yang over ❤",620,Sandy beneran Jenius bisa ikutin alur mainnya tanpa menghilangkan Kharismanya tapi tetap terlihat lucu tanpa Effort yang over,sandy beneran jenius bisa ikutin alur mainnya tanpa menghilangkan kharismanya tapi tetap terlihat lucu tanpa effort yang over,"['sandy', 'beneran', 'jenius', 'bisa', 'ikutin', 'alur', 'mainnya', 'tanpa', 'menghilangkan', 'kharismanya', 'tapi', 'tetap', 'terlihat', 'lucu', 'tanpa', 'effort', 'yang', 'over']","['sandy', 'beneran', 'jenius', 'ikutin', 'alur', 'mainnya', 'menghilangkan', 'kharismanya', 'lucu', 'effort', 'over']","['sandy', 'beneran', 'jenius', 'ikutin', 'alur', 'main', 'hilang', 'kharismanya', 'lucu', 'effort', 'over']",sandy beneran jenius ikutin alur main hilang kharismanya lucu effort over,sandy beneran jenius ikutin alur main hilang kharismanya lucu effort over,Positif
ga nyangka sandy jadi sefrekuensi😭,1,ga nyangka sandy jadi sefrekuensi,ga nyangka sandy jadi sefrekuensi,"['ga', 'nyangka', 'sandy', 'jadi', 'sefrekuensi']","['ga', 'nyangka', 'sandy', 'sefrekuensi']","['ga', 'nyangka', 'sandy', 'frekuensi']",ga nyangka sandy frekuensi,ga nyangka sandy frekuensi,Positif
NGAKAK BANGET GJ BGT 😭😭😭,1,NGAKAK BANGET GJ banget,ngakak banget gj banget,"['ngakak', 'banget', 'gj', 'banget']","['ngakak', 'banget', 'gj', 'banget']","['ngakak', 'banget', 'gj', 'banget']",ngakak banget gj banget,ngakak banget gj banget,Positif
Alur nya bikin nebak-nebak ya.. Entah mentality atau ada hasutan dari hal lain hoahh manteppp❤,0,Alur nya bikin nebaknebak ya Entah mentality atau ada hasutan dari hal lain hoahh manteppp,alur nya bikin nebaknebak ya entah mentality atau ada hasutan dari hal lain hoahh manteppp,"['alur', 'nya', 'bikin', 'nebaknebak', 'ya', 'entah', 'mentality', 'atau', 'ada', 'hasutan', 'dari', 'hal', 'lain', 'hoahh', 'manteppp']","['alur', 'nya', 'bikin', 'nebaknebak', 'ya', 'mentality', 'hasutan', 'hoahh', 'manteppp']","['alur', 'nya', 'bikin', 'nebaknebak', 'ya', 'mentality', 'hasut', 'hoahh', 'manteppp']",alur nya bikin nebaknebak ya mentality hasut hoahh manteppp,alur nya bikin nebaknebak ya mentality hasut hoahh manteppp,Positif
gangerti knp gw nonton ini sampe slese😭,13,gangerti kenapa saya nonton ini sampe slese,gangerti kenapa saya nonton ini sampe slese,"['gangerti', 'kenapa', 'saya', 'nonton', 'ini', 'sampe', 'slese']","['gangerti', 'nonton', 'sampe', 'slese']","['gangerti', 'nonton', 'sampe', 'slese']",gangerti nonton sampe slese,gangerti nonton sampe slese,Negatif
podcast apaan sihh iniii😭😭,2,podcast apaan sihh iniii,podcast apaan sihh iniii,"['podcast', 'apaan', 'sihh', 'iniii']","['podcast', 'sihh', 'iniii']","['podcast', 'sihh', 'iniii']",podcast sihh iniii,podcast sihh iniii,Positif
lucu bangeeetettetetetetetetet,0,lucu bangeeetettetetetetetetet,lucu bangeeetettetetetetetetet,"['lucu', 'bangeeetettetetetetetetet']","['lucu', 'bangeeetettetetetetetetet']","['lucu', 'bangeeetettetetetetetetet']",lucu bangeeetettetetetetetetet,lucu bangeeetettetetetetetetet,Positif
Ngakak bangetttt nontonnya🤣🤣🤣🤣🤣😭😭😭,0,Ngakak bangetttt nontonnya,ngakak bangetttt nontonnya,"['ngakak', 'bangetttt', 'nontonnya']","['ngakak', 'bangetttt', 'nontonnya']","['ngakak', 'bangetttt', 'nontonnya']",ngakak bangetttt nontonnya,ngakak bangetttt nontonnya,Positif
Episode fav 😂 bener ya ternyata lingkungan berpengaruh. Sandy abis ini mandi kembang ya nak 😂,1,Episode fav bener ya ternyata lingkungan berpengaruh Sandy abis ini mandi kembang ya nak,episode fav bener ya ternyata lingkungan berpengaruh sandy abis ini mandi kembang ya nak,"['episode', 'fav', 'bener', 'ya', 'ternyata', 'lingkungan', 'berpengaruh', 'sandy', 'abis', 'ini', 'mandi', 'kembang', 'ya', 'nak']","['episode', 'fav', 'bener', 'ya', 'lingkungan', 'berpengaruh', 'sandy', 'abis', 'mandi', 'kembang', 'ya', 'nak']","['episode', 'fav', 'bener', 'ya', 'lingkung', 'pengaruh', 'sandy', 'abis', 'mandi', 'kembang', 'ya', 'nak']",episode fav bener ya lingkung pengaruh sandy abis mandi kembang ya nak,episode fav bener ya lingkung pengaruh sandy abis mandi kembang ya nak,Positif
"merekaa ngomongg,gw ikut mikir juga😦😭",3,merekaa ngomongggw ikut mikir juga,merekaa ngomongggw ikut mikir juga,"['merekaa', 'ngomongggw', 'ikut', 'mikir', 'juga']","['merekaa', 'ngomongggw', 'mikir']","['merekaa', 'ngomongggw', 'mikir']",merekaa ngomongggw mikir,merekaa ngomongggw mikir,Negatif
Apa-apaan ini 😂😂,1,Apaapaan ini,apaapaan ini,"['apaapaan', 'ini']",['apaapaan'],['apaapaan'],apaapaan,apaapaan,Negatif
Bisa2nya dr awal sampek akhir ngakak. Adain lagi dong trio cringe ini 😂 menghibur bgt,0,Bisa2nya dari awal sampek akhir ngakak Adain lagi dong trio cringe ini menghibur banget,bisa2nya dari awal sampek akhir ngakak adain lagi dong trio cringe ini menghibur banget,"['bisa2nya', 'dari', 'awal', 'sampek', 'akhir', 'ngakak', 'adain', 'lagi', 'dong', 'trio', 'cringe', 'ini', 'menghibur', 'banget']","['bisa2nya', 'sampek', 'ngakak', 'adain', 'trio', 'cringe', 'menghibur', 'banget']","['bisa2nya', 'sampek', 'ngakak', 'adain', 'trio', 'cringe', 'hibur', 'banget']",bisa2nya sampek ngakak adain trio cringe hibur banget,bisa2nya sampek ngakak adain trio cringe hibur banget,Positif
sandy masuk bgt sama niki mario asli.. ini eps terlucu mnrut gue😂,0,sandy masuk banget sama niki mario asli ini eps terlucu mnrut gue,sandy masuk banget sama niki mario asli ini eps terlucu mnrut gue,"['sandy', 'masuk', 'banget', 'sama', 'niki', 'mario', 'asli', 'ini', 'eps', 'terlucu', 'mnrut', 'gue']","['sandy', 'masuk', 'banget', 'niki', 'mario', 'asli', 'eps', 'terlucu', 'mnrut', 'gue']","['sandy', 'masuk', 'banget', 'nik', 'mario', 'asli', 'eps', 'lucu', 'mnrut', 'gue']",sandy masuk banget nik mario asli eps lucu mnrut gue,sandy masuk banget nik mario asli eps lucu mnrut gue,Positif
salam orang waras,0,salam orang waras,salam orang waras,"['salam', 'orang', 'waras']","['salam', 'orang', 'waras']","['salam', 'orang', 'waras']",salam orang waras,salam orang waras,Positif
Seruuu poll podcast kali ini👏,0,Seruuu poll podcast kali ini,seruuu poll podcast kali ini,"['seruuu', 'poll', 'podcast', 'kali', 'ini']","['seruuu', 'poll', 'podcast', 'kali']","['seruuu', 'poll', 'podcast', 'kali']",seruuu poll podcast kali,seruuu poll podcast kali,Positif
Beneran yg terakhir emang paling syok🤟😭🤟😭,0,Beneran yang terakhir emang paling syok,beneran yang terakhir emang paling syok,"['beneran', 'yang', 'terakhir', 'emang', 'paling', 'syok']","['beneran', 'emang', 'syok']","['beneran', 'emang', 'syok']",beneran emang syok,beneran emang syok,Positif
WKWKWKW SANDY MULTITALENT YA BAKAT JADI PELAWAK🤣,9,WKWKWKW SANDY MULTITALENT YA BAKAT JADI PELAWAK,wkwkwkw sandy multitalent ya bakat jadi pelawak,"['wkwkwkw', 'sandy', 'multitalent', 'ya', 'bakat', 'jadi', 'pelawak']","['wkwkwkw', 'sandy', 'multitalent', 'ya', 'bakat', 'pelawak']","['wkwkwkw', 'sandy', 'multitalent', 'ya', 'bakat', 'lawak']",wkwkwkw sandy multitalent ya bakat lawak,wkwkwkw sandy multitalent ya bakat lawak,Positif
naikin gaji editor,1,naikin gaji editor,naikin gaji editor,"['naikin', 'gaji', 'editor']","['naikin', 'gaji', 'editor']","['naikin', 'gaji', 'editor']",naikin gaji editor,naikin gaji editor,Positif
&quot;SOLD OUTT&quot; YAALLAHHH,0,SOLD OUTT YAALLAHHH,sold outt yaallahhh,"['sold', 'outt', 'yaallahhh']","['sold', 'outt', 'yaallahhh']","['sold', 'outt', 'yaallahhh']",sold outt yaallahhh,sold outt yaallahhh,Positif
"kak iyo, tamunya ditaro di tengah dong supaya mukanya keliatan dan jd ga nengookk",0,kak iyo tamunya ditaro di tengah dong supaya mukanya keliatan dan jadi ga nengookk,kak iyo tamunya ditaro di tengah dong supaya mukanya keliatan dan jadi ga nengookk,"['kak', 'iyo', 'tamunya', 'ditaro', 'di', 'tengah', 'dong', 'supaya', 'mukanya', 'keliatan', 'dan', 'jadi', 'ga', 'nengookk']","['kak', 'iyo', 'tamunya', 'ditaro', 'mukanya', 'keliatan', 'ga', 'nengookk']","['kak', 'iyo', 'tamu', 'ditaro', 'muka', 'liat', 'ga', 'nengookk']",kak iyo tamu ditaro muka liat ga nengookk,kak iyo tamu ditaro muka liat ga nengookk,Negatif
Lanjut ngundang ifood,0,Lanjut ngundang ifood,lanjut ngundang ifood,"['lanjut', 'ngundang', 'ifood']","['ngundang', 'ifood']","['ngundang', 'ifood']",ngundang ifood,ngundang ifood,Netral
diantara mereka bertiga ternyata yg waras cm penonton😂,9,diantara mereka bertiga ternyata yang waras cm penonton,diantara mereka bertiga ternyata yang waras cm penonton,"['diantara', 'mereka', 'bertiga', 'ternyata', 'yang', 'waras', 'cm', 'penonton']","['bertiga', 'waras', 'cm', 'penonton']","['tiga', 'waras', 'cm', 'tonton']",tiga waras cm tonton,tiga waras cm tonton,Netral
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1048"">17:28</a> NGACO GUE LG SEKOLAH KETAWA KETIWI KAYA ORGIL",0,NGACO GUE LG SEKOLAH KETAWA KETIWI KAYA ORGIL,ngaco gue lg sekolah ketawa ketiwi kaya orgil,"['ngaco', 'gue', 'lg', 'sekolah', 'ketawa', 'ketiwi', 'kaya', 'orgil']","['ngaco', 'gue', 'lg', 'sekolah', 'ketawa', 'ketiwi', 'kaya', 'orgil']","['ngaco', 'gue', 'lg', 'sekolah', 'ketawa', 'ketiwi', 'kaya', 'orgil']",ngaco gue lg sekolah ketawa ketiwi kaya orgil,ngaco gue lg sekolah ketawa ketiwi kaya orgil,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=849"">14:09</a> iya WKWKW😊",0,iya WKWKW,iya wkwkw,"['iya', 'wkwkw']","['iya', 'wkwkw']","['iya', 'wkwkw']",iya wkwkw,iya wkwkw,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=296"">4:56</a> NGAKAK BGT TAI",0,NGAKAK banget TAI,ngakak banget tai,"['ngakak', 'banget', 'tai']","['ngakak', 'banget', 'tai']","['ngakak', 'banget', 'tai']",ngakak banget tai,ngakak banget tai,Positif
Yaampun sakit ni perut ketawa mulu😂,3,Yaampun sakit ni perut ketawa mulu,yaampun sakit ni perut ketawa mulu,"['yaampun', 'sakit', 'ni', 'perut', 'ketawa', 'mulu']","['yaampun', 'sakit', 'ni', 'perut', 'ketawa', 'mulu']","['yaampun', 'sakit', 'ni', 'perut', 'ketawa', 'mulu']",yaampun sakit ni perut ketawa mulu,yaampun sakit ni perut ketawa mulu,Positif
seruu banget sannnn wkwkwkwk ga berhenti ngakak,1,seruu banget sannnn wkwkwkwk ga berhenti ngakak,seruu banget sannnn wkwkwkwk ga berhenti ngakak,"['seruu', 'banget', 'sannnn', 'wkwkwkwk', 'ga', 'berhenti', 'ngakak']","['seruu', 'banget', 'sannnn', 'wkwkwkwk', 'ga', 'berhenti', 'ngakak']","['seruu', 'banget', 'sannnn', 'wkwkwkwk', 'ga', 'henti', 'ngakak']",seruu banget sannnn wkwkwkwk ga henti ngakak,seruu banget sannnn wkwkwkwk ga henti ngakak,Positif
Detik-detik iq sandy turun dalam waktu kurang 1 jam,4,Detikdetik iq sandy turun dalam waktu kurang 1 jam,detikdetik iq sandy turun dalam waktu kurang 1 jam,"['detikdetik', 'iq', 'sandy', 'turun', 'dalam', 'waktu', 'kurang', '1', 'jam']","['detikdetik', 'iq', 'sandy', 'turun', '1', 'jam']","['detikdetik', 'iq', 'sandy', 'turun', '1', 'jam']",detikdetik iq sandy turun 1 jam,detikdetik iq sandy turun 1 jam,Negatif
i love mihu mihu,0,i love mihu mihu,i love mihu mihu,"['i', 'love', 'mihu', 'mihu']","['i', 'love', 'mihu', 'mihu']","['i', 'love', 'mihu', 'mihu']",i love mihu mihu,i love mihu mihu,Positif
keren,0,keren,keren,['keren'],['keren'],['keren'],keren,keren,Positif
Heboh banget pas sama&quot; 1 mei 😂😭,1,Heboh banget pas sama 1 mei,heboh banget pas sama 1 mei,"['heboh', 'banget', 'pas', 'sama', '1', 'mei']","['heboh', 'banget', 'pas', '1', 'mei']","['heboh', 'banget', 'pas', '1', 'mei']",heboh banget pas 1 mei,heboh banget pas 1 mei,Positif
Asli kocak bgt bertiga😅,0,Asli kocak banget bertiga,asli kocak banget bertiga,"['asli', 'kocak', 'banget', 'bertiga']","['asli', 'kocak', 'banget', 'bertiga']","['asli', 'kocak', 'banget', 'tiga']",asli kocak banget tiga,asli kocak banget tiga,Positif
mood banget dari awal sampe akhir😭😭😭😭,0,mood banget dari awal sampe akhir,mood banget dari awal sampe akhir,"['mood', 'banget', 'dari', 'awal', 'sampe', 'akhir']","['mood', 'banget', 'sampe']","['mood', 'banget', 'sampe']",mood banget sampe,mood banget sampe,Positif
Abis nonton ini IQ aku jadi berkuadrat,1,Abis nonton ini IQ aku jadi berkuadrat,abis nonton ini iq aku jadi berkuadrat,"['abis', 'nonton', 'ini', 'iq', 'aku', 'jadi', 'berkuadrat']","['abis', 'nonton', 'iq', 'berkuadrat']","['abis', 'nonton', 'iq', 'kuadrat']",abis nonton iq kuadrat,abis nonton iq kuadrat,Negatif
gakuattt,1,gakuattt,gakuattt,['gakuattt'],['gakuattt'],['gakuattt'],gakuattt,gakuattt,Positif
ngakak banget😭,1,ngakak banget,ngakak banget,"['ngakak', 'banget']","['ngakak', 'banget']","['ngakak', 'banget']",ngakak banget,ngakak banget,Positif
omg.. iq aku naik wak 🤭🤭,0,omg iq aku naik wak,omg iq aku naik wak,"['omg', 'iq', 'aku', 'naik', 'wak']","['omg', 'iq', 'wak']","['omg', 'iq', 'wak']",omg iq wak,omg iq wak,Negatif
"Muka bintng tamu gk keliatan, harusnya duduk nya di trngah",0,Muka bintng tamu tidak keliatan harusnya duduk nya di trngah,muka bintng tamu tidak keliatan harusnya duduk nya di trngah,"['muka', 'bintng', 'tamu', 'tidak', 'keliatan', 'harusnya', 'duduk', 'nya', 'di', 'trngah']","['muka', 'bintng', 'tamu', 'keliatan', 'duduk', 'nya', 'trngah']","['muka', 'bintng', 'tamu', 'liat', 'duduk', 'nya', 'trngah']",muka bintng tamu liat duduk nya trngah,muka bintng tamu liat duduk nya trngah,Negatif
HAHAHAHAHAH capek banget ngetawain ini😭😭😂,0,HAHAHAHAHAH capek banget ngetawain ini,hahahahahah capek banget ngetawain ini,"['hahahahahah', 'capek', 'banget', 'ngetawain', 'ini']","['hahahahahah', 'capek', 'banget', 'ngetawain']","['hahahahahah', 'capek', 'banget', 'ngetawain']",hahahahahah capek banget ngetawain,hahahahahah capek banget ngetawain,Positif
